from_datetime,P_batt,P_grid,E
2024-04-01 00:00:00-07:00,0.000,0.398,2.700
2024-04-01 01:00:00-07:00,0.000,0.370,2.700
2024-04-01 02:00:00-07:00,0.000,0.363,2.700
2024-04-01 03:00:00-07:00,0.000,0.361,2.700
2024-04-01 04:00:00-07:00,0.000,0.358,2.700
2024-04-01 05:00:00-07:00,0.000,0.359,2.700
2024-04-01 06:00:00-07:00,0.000,0.316,2.700
2024-04-01 07:00:00-07:00,-0.000,-0.366,2.700
2024-04-01 08:00:00-07:00,-0.395,-0.606,3.064
2024-04-01 09:00:00-07:00,-1.453,0.000,4.404
2024-04-01 10:00:00-07:00,-1.776,0.000,6.042
2024-04-01 11:00:00-07:00,-1.968,0.000,7.856
2024-04-01 12:00:00-07:00,-1.656,0.000,9.383
2024-04-01 13:00:00-07:00,-1.706,0.000,10.956
2024-04-01 14:00:00-07:00,-1.667,0.000,12.493
2024-04-01 15:00:00-07:00,-1.092,0.000,13.500
2024-04-01 16:00:00-07:00,1.957,-2.226,11.378
2024-04-01 17:00:00-07:00,0.637,0.000,10.686
2024-04-01 18:00:00-07:00,0.912,0.000,9.697
2024-04-01 19:00:00-07:00,0.811,0.000,8.817
2024-04-01 20:00:00-07:00,0.869,0.000,7.875
2024-04-01 21:00:00-07:00,0.933,0.000,6.863
2024-04-01 22:00:00-07:00,0.760,0.000,6.038
2024-04-01 23:00:00-07:00,0.519,0.000,5.475
2024-04-02 00:00:00-07:00,0.377,0.000,5.067
2024-04-02 01:00:00-07:00,0.369,0.000,4.666
2024-04-02 02:00:00-07:00,0.365,0.000,4.270
2024-04-02 03:00:00-07:00,0.360,0.000,3.880
2024-04-02 04:00:00-07:00,0.360,0.000,3.489
2024-04-02 05:00:00-07:00,0.393,0.000,3.062
2024-04-02 06:00:00-07:00,0.334,0.000,2.700
2024-04-02 07:00:00-07:00,0.000,-0.307,2.700
2024-04-02 08:00:00-07:00,0.000,-1.074,2.700
2024-04-02 09:00:00-07:00,0.000,-1.721,2.700
2024-04-02 10:00:00-07:00,-1.572,-0.444,4.149
2024-04-02 11:00:00-07:00,-2.282,0.000,6.253
2024-04-02 12:00:00-07:00,-2.355,0.000,8.424
2024-04-02 13:00:00-07:00,-2.236,0.000,10.485
2024-04-02 14:00:00-07:00,-1.926,0.000,12.261
2024-04-02 15:00:00-07:00,-1.344,0.000,13.500
2024-04-02 16:00:00-07:00,1.578,-2.086,11.788
2024-04-02 17:00:00-07:00,0.394,0.000,11.361
2024-04-02 18:00:00-07:00,0.784,0.000,10.511
2024-04-02 19:00:00-07:00,0.809,0.000,9.633
2024-04-02 20:00:00-07:00,0.870,0.000,8.689
2024-04-02 21:00:00-07:00,0.933,0.000,7.677
2024-04-02 22:00:00-07:00,0.695,0.000,6.924
2024-04-02 23:00:00-07:00,0.370,0.000,6.522
2024-04-03 00:00:00-07:00,0.367,0.000,6.124
2024-04-03 01:00:00-07:00,0.364,0.000,5.729
2024-04-03 02:00:00-07:00,0.363,0.000,5.335
2024-04-03 03:00:00-07:00,0.361,0.000,4.944
2024-04-03 04:00:00-07:00,0.358,0.000,4.556
2024-04-03 05:00:00-07:00,0.402,0.000,4.120
2024-04-03 06:00:00-07:00,0.499,0.000,3.578
2024-04-03 07:00:00-07:00,0.007,0.000,3.571
2024-04-03 08:00:00-07:00,-0.563,0.000,4.090
2024-04-03 09:00:00-07:00,-1.386,0.000,5.368
2024-04-03 10:00:00-07:00,-0.988,0.000,6.279
2024-04-03 11:00:00-07:00,-0.985,0.000,7.187
2024-04-03 12:00:00-07:00,-2.236,0.000,9.249
2024-04-03 13:00:00-07:00,-2.109,0.000,11.193
2024-04-03 14:00:00-07:00,-1.502,0.000,12.578
2024-04-03 15:00:00-07:00,-1.000,0.000,13.500
2024-04-03 16:00:00-07:00,0.000,-0.180,13.500
2024-04-03 17:00:00-07:00,0.486,0.000,12.973
2024-04-03 18:00:00-07:00,0.781,0.000,12.126
2024-04-03 19:00:00-07:00,0.810,0.000,11.247
2024-04-03 20:00:00-07:00,0.954,0.000,10.213
2024-04-03 21:00:00-07:00,2.186,0.000,7.842
2024-04-03 22:00:00-07:00,2.035,0.000,5.635
2024-04-03 23:00:00-07:00,0.373,0.000,5.231
2024-04-04 00:00:00-07:00,0.367,0.000,4.832
2024-04-04 01:00:00-07:00,0.364,0.000,4.437
2024-04-04 02:00:00-07:00,0.363,0.000,4.043
2024-04-04 03:00:00-07:00,0.361,0.000,3.652
2024-04-04 04:00:00-07:00,0.359,0.000,3.262
2024-04-04 05:00:00-07:00,0.518,0.176,2.700
2024-04-04 06:00:00-07:00,0.000,2.380,2.700
2024-04-04 07:00:00-07:00,0.000,1.837,2.700
2024-04-04 08:00:00-07:00,-0.011,0.000,2.710
2024-04-04 09:00:00-07:00,-1.388,0.000,3.990
2024-04-04 10:00:00-07:00,-2.002,0.000,5.836
2024-04-04 11:00:00-07:00,-2.081,0.000,7.754
2024-04-04 12:00:00-07:00,-2.143,0.000,9.730
2024-04-04 13:00:00-07:00,-1.639,0.000,11.241
2024-04-04 14:00:00-07:00,-1.389,0.000,12.522
2024-04-04 15:00:00-07:00,-0.704,0.000,13.170
2024-04-04 16:00:00-07:00,2.184,-2.391,10.802
2024-04-04 17:00:00-07:00,0.454,0.000,10.310
2024-04-04 18:00:00-07:00,0.720,0.000,9.529
2024-04-04 19:00:00-07:00,0.804,0.000,8.657
2024-04-04 20:00:00-07:00,0.846,0.000,7.739
2024-04-04 21:00:00-07:00,0.911,0.000,6.751
2024-04-04 22:00:00-07:00,0.384,0.000,6.335
2024-04-04 23:00:00-07:00,0.371,0.000,5.933
2024-04-05 00:00:00-07:00,0.367,0.000,5.535
2024-04-05 01:00:00-07:00,0.367,0.000,5.137
2024-04-05 02:00:00-07:00,0.363,0.000,4.743
2024-04-05 03:00:00-07:00,0.361,0.000,4.352
2024-04-05 04:00:00-07:00,0.358,0.000,3.963
2024-04-05 05:00:00-07:00,0.359,0.000,3.573
2024-04-05 06:00:00-07:00,0.519,0.000,3.011
2024-04-05 07:00:00-07:00,0.287,0.000,2.700
2024-04-05 08:00:00-07:00,-0.408,0.000,3.076
2024-04-05 09:00:00-07:00,-0.692,-0.498,3.714
2024-04-05 10:00:00-07:00,-1.377,0.000,4.984
2024-04-05 11:00:00-07:00,-1.885,0.000,6.721
2024-04-05 12:00:00-07:00,-2.272,0.000,8.816
2024-04-05 13:00:00-07:00,-2.103,0.000,10.755
2024-04-05 14:00:00-07:00,-1.795,0.000,12.410
2024-04-05 15:00:00-07:00,-1.183,0.000,13.500
2024-04-05 16:00:00-07:00,2.978,-3.289,10.270
2024-04-05 17:00:00-07:00,0.544,0.000,9.681
2024-04-05 18:00:00-07:00,0.879,0.000,8.727
2024-04-05 19:00:00-07:00,0.809,0.000,7.849
2024-04-05 20:00:00-07:00,0.772,0.000,7.012
2024-04-05 21:00:00-07:00,0.498,0.000,6.472
2024-04-05 22:00:00-07:00,0.427,0.000,6.009
2024-04-05 23:00:00-07:00,0.439,0.000,5.533
2024-04-06 00:00:00-07:00,0.368,0.000,5.134
2024-04-06 01:00:00-07:00,0.365,0.000,4.738
2024-04-06 02:00:00-07:00,0.363,0.000,4.344
2024-04-06 03:00:00-07:00,0.360,0.000,3.954
2024-04-06 04:00:00-07:00,0.363,0.000,3.560
2024-04-06 05:00:00-07:00,0.420,0.000,3.104
2024-04-06 06:00:00-07:00,0.373,0.000,2.700
2024-04-06 07:00:00-07:00,-0.000,-0.109,2.700
2024-04-06 08:00:00-07:00,0.000,-0.731,2.700
2024-04-06 09:00:00-07:00,-0.000,-1.644,2.700
2024-04-06 10:00:00-07:00,-1.471,-0.445,4.056
2024-04-06 11:00:00-07:00,-2.341,0.000,6.214
2024-04-06 12:00:00-07:00,-2.391,0.000,8.419
2024-04-06 13:00:00-07:00,-2.269,0.000,10.511
2024-04-06 14:00:00-07:00,-1.882,0.000,12.246
2024-04-06 15:00:00-07:00,-1.360,0.000,13.500
2024-04-06 16:00:00-07:00,0.000,-0.574,13.500
2024-04-06 17:00:00-07:00,1.199,-0.742,12.200
2024-04-06 18:00:00-07:00,0.672,0.000,11.470
2024-04-06 19:00:00-07:00,2.345,0.000,8.926
2024-04-06 20:00:00-07:00,1.946,0.000,6.815
2024-04-06 21:00:00-07:00,0.464,0.000,6.312
2024-04-06 22:00:00-07:00,0.405,0.000,5.874
