from_datetime,P_batt,P_grid,E
2024-04-01 00:00:00-07:00,-0.000,1.500,2.700
2024-04-01 01:00:00-07:00,0.000,1.674,2.700
2024-04-01 02:00:00-07:00,0.000,1.860,2.700
2024-04-01 03:00:00-07:00,0.000,2.183,2.700
2024-04-01 04:00:00-07:00,0.000,2.742,2.700
2024-04-01 05:00:00-07:00,-0.000,3.189,2.700
2024-04-01 06:00:00-07:00,-0.000,3.825,2.700
2024-04-01 07:00:00-07:00,0.000,2.647,2.700
2024-04-01 08:00:00-07:00,0.000,0.819,2.700
2024-04-01 09:00:00-07:00,-0.000,-0.687,2.700
2024-04-01 10:00:00-07:00,-1.458,0.000,4.044
2024-04-01 11:00:00-07:00,-1.830,-0.184,5.731
2024-04-01 12:00:00-07:00,-2.108,0.000,7.675
2024-04-01 13:00:00-07:00,-2.296,0.000,9.791
2024-04-01 14:00:00-07:00,-2.329,0.000,11.938
2024-04-01 15:00:00-07:00,-1.694,0.000,13.500
2024-04-01 16:00:00-07:00,-0.000,-0.648,13.500
2024-04-01 17:00:00-07:00,0.505,0.000,12.952
2024-04-01 18:00:00-07:00,0.888,0.000,11.989
2024-04-01 19:00:00-07:00,0.821,0.000,11.098
2024-04-01 20:00:00-07:00,1.066,0.000,9.941
2024-04-01 21:00:00-07:00,1.361,0.000,8.465
2024-04-01 22:00:00-07:00,1.432,0.000,6.912
2024-04-01 23:00:00-07:00,1.377,0.000,5.419
2024-04-02 00:00:00-07:00,1.365,0.000,3.938
2024-04-02 01:00:00-07:00,0.000,1.478,3.938
2024-04-02 02:00:00-07:00,1.141,0.488,2.700
2024-04-02 03:00:00-07:00,0.000,1.759,2.700
2024-04-02 04:00:00-07:00,0.000,1.820,2.700
2024-04-02 05:00:00-07:00,0.000,2.020,2.700
2024-04-02 06:00:00-07:00,0.000,2.041,2.700
2024-04-02 07:00:00-07:00,0.000,0.946,2.700
2024-04-02 08:00:00-07:00,-0.000,-0.326,2.700
2024-04-02 09:00:00-07:00,-0.000,-1.552,2.700
2024-04-02 10:00:00-07:00,-0.000,-2.184,2.700
2024-04-02 11:00:00-07:00,-1.647,-1.122,4.218
2024-04-02 12:00:00-07:00,-2.966,0.000,6.953
2024-04-02 13:00:00-07:00,-2.888,0.000,9.616
2024-04-02 14:00:00-07:00,-2.488,0.000,11.909
2024-04-02 15:00:00-07:00,-1.725,0.000,13.500
2024-04-02 16:00:00-07:00,-0.000,-0.608,13.500
2024-04-02 17:00:00-07:00,0.670,0.000,12.774
2024-04-02 18:00:00-07:00,1.299,0.000,11.364
2024-04-02 19:00:00-07:00,1.571,0.000,9.660
