from_datetime,P_batt,P_grid,E
2024-04-01 00:00:00-07:00,-0.000,0.606,-0.000
2024-04-01 01:00:00-07:00,0.000,0.651,-0.000
2024-04-01 02:00:00-07:00,0.000,0.761,-0.000
2024-04-01 03:00:00-07:00,-0.000,0.921,-0.000
2024-04-01 04:00:00-07:00,-0.000,1.146,-0.000
2024-04-01 05:00:00-07:00,0.000,1.413,-0.000
2024-04-01 06:00:00-07:00,0.000,1.604,-0.000
2024-04-01 07:00:00-07:00,0.000,0.830,-0.000
2024-04-01 08:00:00-07:00,-0.000,-0.213,-0.000
2024-04-01 09:00:00-07:00,0.000,-0.982,-0.000
2024-04-01 10:00:00-07:00,-0.000,-1.583,-0.000
2024-04-01 11:00:00-07:00,-0.000,-1.931,-0.000
2024-04-01 12:00:00-07:00,0.000,-1.618,-0.000
2024-04-01 13:00:00-07:00,-0.000,-1.656,0.000
2024-04-01 14:00:00-07:00,-0.000,-1.583,-0.000
2024-04-01 15:00:00-07:00,0.000,-0.999,-0.000
2024-04-01 16:00:00-07:00,0.000,-0.152,-0.000
2024-04-01 17:00:00-07:00,0.000,0.763,0.000
2024-04-01 18:00:00-07:00,0.000,1.020,0.000
2024-04-01 19:00:00-07:00,0.000,0.889,-0.000
2024-04-01 20:00:00-07:00,0.000,0.948,-0.000
2024-04-01 21:00:00-07:00,0.000,1.026,-0.000
2024-04-01 22:00:00-07:00,-0.000,0.880,-0.000
2024-04-01 23:00:00-07:00,-0.000,0.676,-0.000
2024-04-02 00:00:00-07:00,0.000,0.585,-0.000
2024-04-02 01:00:00-07:00,0.000,0.650,-0.000
2024-04-02 02:00:00-07:00,0.000,0.763,-0.000
2024-04-02 03:00:00-07:00,0.000,0.920,-0.000
2024-04-02 04:00:00-07:00,-0.000,1.148,-0.000
2024-04-02 05:00:00-07:00,0.000,1.448,-0.000
2024-04-02 06:00:00-07:00,0.000,1.622,-0.000
2024-04-02 07:00:00-07:00,-0.000,0.843,-0.000
2024-04-02 08:00:00-07:00,0.000,-0.324,-0.000
2024-04-02 09:00:00-07:00,-0.000,-1.163,-0.000
2024-04-02 10:00:00-07:00,-0.000,-1.763,-0.000
2024-04-02 11:00:00-07:00,0.000,-2.089,-0.000
2024-04-02 12:00:00-07:00,-0.000,-2.207,-0.000
2024-04-02 13:00:00-07:00,-0.000,-2.106,0.000
2024-04-02 14:00:00-07:00,-0.000,-1.797,-0.000
2024-04-02 15:00:00-07:00,0.000,-1.224,-0.000
2024-04-02 16:00:00-07:00,-0.000,-0.389,-0.000
2024-04-02 17:00:00-07:00,0.000,0.521,0.000
2024-04-02 18:00:00-07:00,0.000,0.891,0.000
2024-04-02 19:00:00-07:00,0.000,0.888,0.000
2024-04-02 20:00:00-07:00,0.000,0.949,-0.000
2024-04-02 21:00:00-07:00,0.000,1.026,-0.000
2024-04-02 22:00:00-07:00,0.000,0.815,-0.000
2024-04-02 23:00:00-07:00,0.000,0.528,-0.000
2024-04-03 00:00:00-07:00,0.000,0.575,-0.000
2024-04-03 01:00:00-07:00,0.000,0.646,-0.000
2024-04-03 02:00:00-07:00,0.000,0.761,-0.000
2024-04-03 03:00:00-07:00,0.000,0.921,-0.000
2024-04-03 04:00:00-07:00,0.000,1.146,-0.000
2024-04-03 05:00:00-07:00,0.000,1.456,-0.000
2024-04-03 06:00:00-07:00,0.000,1.775,-0.000
2024-04-03 07:00:00-07:00,0.000,0.994,-0.000
2024-04-03 08:00:00-07:00,0.000,-0.214,-0.000
2024-04-03 09:00:00-07:00,0.000,-1.061,-0.000
2024-04-03 10:00:00-07:00,0.000,-0.862,-0.000
2024-04-03 11:00:00-07:00,0.000,-0.863,-0.000
2024-04-03 12:00:00-07:00,-0.000,-2.113,-0.000
2024-04-03 13:00:00-07:00,-0.000,-2.059,0.000
2024-04-03 14:00:00-07:00,-0.000,-1.596,-0.000
2024-04-03 15:00:00-07:00,0.000,-1.061,-0.000
2024-04-03 16:00:00-07:00,-0.000,-0.323,-0.000
2024-04-03 17:00:00-07:00,0.000,0.564,0.000
2024-04-03 18:00:00-07:00,0.000,0.891,-0.000
2024-04-03 19:00:00-07:00,0.000,0.888,0.000
2024-04-03 20:00:00-07:00,0.000,1.032,-0.000
2024-04-03 21:00:00-07:00,0.000,2.279,-0.000
2024-04-03 22:00:00-07:00,0.000,2.155,-0.000
2024-04-03 23:00:00-07:00,0.000,0.530,-0.000
2024-04-04 00:00:00-07:00,0.000,0.575,-0.000
2024-04-04 01:00:00-07:00,0.000,0.646,-0.000
2024-04-04 02:00:00-07:00,0.000,0.761,-0.000
2024-04-04 03:00:00-07:00,0.000,0.921,-0.000
2024-04-04 04:00:00-07:00,0.000,1.147,-0.000
2024-04-04 05:00:00-07:00,0.000,1.749,-0.000
2024-04-04 06:00:00-07:00,0.000,3.678,-0.000
2024-04-04 07:00:00-07:00,0.000,3.387,-0.000
2024-04-04 08:00:00-07:00,0.000,1.532,-0.000
2024-04-04 09:00:00-07:00,0.000,0.528,-0.000
2024-04-04 10:00:00-07:00,0.000,0.281,-0.000
2024-04-04 11:00:00-07:00,0.000,0.212,-0.000
2024-04-04 12:00:00-07:00,0.000,0.203,-0.000
2024-04-04 13:00:00-07:00,0.000,0.256,-0.000
2024-04-04 14:00:00-07:00,0.000,0.118,-0.000
2024-04-04 15:00:00-07:00,-0.000,0.119,-0.000
2024-04-04 16:00:00-07:00,0.000,0.240,0.000
2024-04-04 17:00:00-07:00,0.000,0.682,0.000
2024-04-04 18:00:00-07:00,0.000,0.830,0.000
2024-04-04 19:00:00-07:00,0.000,0.882,-0.000
2024-04-04 20:00:00-07:00,0.000,0.925,-0.000
2024-04-04 21:00:00-07:00,0.000,1.004,-0.000
2024-04-04 22:00:00-07:00,0.000,0.504,-0.000
2024-04-04 23:00:00-07:00,0.000,0.528,-0.000
2024-04-05 00:00:00-07:00,0.000,0.575,-0.000
2024-04-05 01:00:00-07:00,0.000,0.648,-0.000
2024-04-05 02:00:00-07:00,0.000,0.761,-0.000
2024-04-05 03:00:00-07:00,0.000,0.921,-0.000
2024-04-05 04:00:00-07:00,0.000,1.146,-0.000
2024-04-05 05:00:00-07:00,0.000,1.414,-0.000
2024-04-05 06:00:00-07:00,0.000,1.840,-0.000
2024-04-05 07:00:00-07:00,0.000,1.660,-0.000
2024-04-05 08:00:00-07:00,0.000,0.835,-0.000
2024-04-05 09:00:00-07:00,0.000,0.299,-0.000
2024-04-05 10:00:00-07:00,0.000,0.821,-0.000
2024-04-05 11:00:00-07:00,0.000,0.301,0.000
2024-04-05 12:00:00-07:00,-0.000,-0.361,0.000
2024-04-05 13:00:00-07:00,-0.000,-0.284,0.000
2024-04-05 14:00:00-07:00,-0.000,-0.609,-0.000
2024-04-05 15:00:00-07:00,-0.000,-0.370,0.000
2024-04-05 16:00:00-07:00,-0.000,-0.003,-0.000
2024-04-05 17:00:00-07:00,0.000,0.746,0.000
2024-04-05 18:00:00-07:00,0.000,0.988,-0.000
2024-04-05 19:00:00-07:00,0.000,0.888,0.000
2024-04-05 20:00:00-07:00,0.000,0.851,-0.000
