from_datetime,P_batt,P_grid,E
2024-04-01 00:00:00-07:00,0.000,1.708,-0.000
2024-04-01 01:00:00-07:00,0.000,1.955,-0.000
2024-04-01 02:00:00-07:00,0.000,2.258,-0.000
2024-04-01 03:00:00-07:00,0.000,2.743,-0.000
2024-04-01 04:00:00-07:00,0.000,3.529,-0.000
2024-04-01 05:00:00-07:00,0.000,4.243,-0.000
2024-04-01 06:00:00-07:00,0.000,5.092,-0.000
2024-04-01 07:00:00-07:00,0.000,3.582,-0.000
2024-04-01 08:00:00-07:00,0.000,1.054,-0.000
2024-04-01 09:00:00-07:00,-0.000,-1.016,-0.000
2024-04-01 10:00:00-07:00,-0.000,-2.248,-0.000
2024-04-01 11:00:00-07:00,-0.000,-3.054,-0.000
2024-04-01 12:00:00-07:00,-0.000,-3.139,-0.000
2024-04-01 13:00:00-07:00,-0.000,-3.241,0.000
2024-04-01 14:00:00-07:00,-0.000,-3.091,-0.000
2024-04-01 15:00:00-07:00,0.000,-2.244,-0.000
2024-04-01 16:00:00-07:00,-0.000,-0.909,-0.000
2024-04-01 17:00:00-07:00,0.000,0.528,0.000
2024-04-01 18:00:00-07:00,0.000,0.996,0.000
2024-04-01 19:00:00-07:00,0.000,0.900,0.000
2024-04-01 20:00:00-07:00,0.000,1.145,-0.000
2024-04-01 21:00:00-07:00,0.000,1.454,-0.000
2024-04-01 22:00:00-07:00,-0.000,1.552,-0.000
2024-04-01 23:00:00-07:00,0.000,1.534,-0.000
2024-04-02 00:00:00-07:00,0.000,1.573,-0.000
2024-04-02 01:00:00-07:00,0.000,1.759,-0.000
2024-04-02 02:00:00-07:00,-0.000,2.027,-0.000
2024-04-02 03:00:00-07:00,-0.000,2.319,-0.000
2024-04-02 04:00:00-07:00,0.000,2.607,-0.000
2024-04-02 05:00:00-07:00,0.000,3.074,-0.000
2024-04-02 06:00:00-07:00,0.000,3.304,-0.000
2024-04-02 07:00:00-07:00,0.000,1.815,-0.000
2024-04-02 08:00:00-07:00,0.000,-0.146,-0.000
2024-04-02 09:00:00-07:00,-0.000,-1.757,-0.000
2024-04-02 10:00:00-07:00,0.000,-2.878,-0.000
2024-04-02 11:00:00-07:00,0.000,-3.578,-0.000
2024-04-02 12:00:00-07:00,0.000,-3.832,-0.000
2024-04-02 13:00:00-07:00,0.000,-3.716,-0.000
2024-04-02 14:00:00-07:00,-0.000,-3.188,-0.000
2024-04-02 15:00:00-07:00,0.000,-2.238,-0.000
2024-04-02 16:00:00-07:00,0.000,-0.867,-0.000
2024-04-02 17:00:00-07:00,0.000,0.695,0.000
2024-04-02 18:00:00-07:00,0.000,1.407,0.000
2024-04-02 19:00:00-07:00,0.000,1.649,-0.000
2024-04-02 20:00:00-07:00,0.000,1.925,-0.000
2024-04-02 21:00:00-07:00,0.000,2.205,-0.000
2024-04-02 22:00:00-07:00,-0.000,2.226,-0.000
2024-04-02 23:00:00-07:00,-0.000,2.176,-0.000
2024-04-03 00:00:00-07:00,0.000,2.519,-0.000
2024-04-03 01:00:00-07:00,-0.000,3.009,-0.000
2024-04-03 02:00:00-07:00,0.000,3.501,-0.000
2024-04-03 03:00:00-07:00,-0.000,4.152,-0.000
2024-04-03 04:00:00-07:00,0.000,5.104,-0.000
2024-04-03 05:00:00-07:00,0.000,6.185,-0.000
2024-04-03 06:00:00-07:00,0.000,6.847,-0.000
2024-04-03 07:00:00-07:00,0.000,5.180,-0.000
2024-04-03 08:00:00-07:00,0.000,3.126,-0.000
2024-04-03 09:00:00-07:00,0.000,0.942,-0.000
2024-04-03 10:00:00-07:00,0.000,0.407,-0.000
2024-04-03 11:00:00-07:00,-0.000,-0.499,-0.000
2024-04-03 12:00:00-07:00,-0.000,-2.756,-0.000
2024-04-03 13:00:00-07:00,-0.000,-2.850,0.000
2024-04-03 14:00:00-07:00,-0.000,-2.223,-0.000
2024-04-03 15:00:00-07:00,0.000,-1.459,-0.000
2024-04-03 16:00:00-07:00,-0.000,-0.497,-0.000
2024-04-03 17:00:00-07:00,0.000,0.762,0.000
2024-04-03 18:00:00-07:00,0.000,1.268,-0.000
2024-04-03 19:00:00-07:00,0.000,1.389,0.000
2024-04-03 20:00:00-07:00,0.000,1.776,-0.000
2024-04-03 21:00:00-07:00,0.000,3.312,-0.000
2024-04-03 22:00:00-07:00,0.000,3.430,-0.000
2024-04-03 23:00:00-07:00,-0.000,2.029,-0.000
2024-04-04 00:00:00-07:00,0.000,2.503,-0.000
2024-04-04 01:00:00-07:00,0.000,2.781,-0.000
2024-04-04 02:00:00-07:00,-0.000,3.076,-0.000
2024-04-04 03:00:00-07:00,0.000,3.516,-0.000
2024-04-04 04:00:00-07:00,-0.000,4.474,-0.000
