load,solar,px_buy,px_sell
0.08,0.0,0.4,0.05
0.15,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.09,0.0,0.4,0.05
0.09,0.0,0.4,0.05
0.07,0.0,0.4,0.05
0.12,0.0,0.4,0.05
0.12,0.00214,0.4,0.05
0.33,0.12383,0.4,0.05
0.07,0.23448,0.4,0.05
0.08,0.29945,0.4,0.05
0.07,0.45538,0.4,0.05
0.14,0.68363,0.4,0.05
0.07,0.72234,0.4,0.05
0.07,0.51422,0.4,0.05
0.13,0.38114,0.4,0.05
0.07,0.15878,0.4,0.08
0.07,0.0,0.52,0.08
0.36,0.0,0.52,0.08
0.5,0.0,0.52,0.08
0.42,0.0,0.52,0.08
0.41,0.0,0.52,0.08
0.66,0.0,0.52,0.05
0.34,0.0,0.4,0.05
0.26,0.0,0.4,0.05
0.18,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.09,0.00248,0.4,0.05
0.44,0.30472,0.4,0.05
0.06,0.50058,0.4,0.05
0.03,0.74383,0.4,0.05
0.03,0.81245,0.4,0.05
0.03,0.85863,0.4,0.05
0.09,0.75113,0.4,0.05
0.07,0.54502,0.4,0.05
0.03,0.23525,0.4,0.05
0.03,0.04859,0.4,0.08
0.03,0.0,0.52,0.08
0.08,0.0,0.52,0.08
0.09,0.0,0.52,0.08
0.04,0.0,0.52,0.08
0.04,0.0,0.52,0.08
0.04,0.0,0.52,0.05
0.07,0.0,0.4,0.05
0.17,0.0,0.4,0.05
